Gattung,GewogenAm,TVD,GewichtBezahlt
650 - SPG Kuhkalb,2017-01-05,120.1327.9406.5,61
650 - SPG Kuhkalb,2017-01-05,120.1327.9407.2,61
640 - SPG Stierkalb,2017-01-06,120.1298.3215.2,54
640 - SPG Stierkalb,2017-01-06,120.1293.6658.9,58
640 - SPG Stierkalb,2017-01-06,120.1292.9552.0,61
640 - SPG Stierkalb,2017-01-06,120.1336.3507.7,64
650 - SPG Kuhkalb,2017-01-06,120.1274.1509.8,66
640 - SPG Stierkalb,2017-01-06,120.1334.9597.8,68
650 - SPG Kuhkalb,2017-01-06,120.1312.7218.2,68
640 - SPG Stierkalb,2017-01-06,120.1241.6346.6,69
640 - SPG Stierkalb,2017-01-06,120.1336.3505.3,69
650 - SPG Kuhkalb,2017-01-06,120.1297.7631.9,69
650 - SPG Kuhkalb,2017-01-06,120.1334.9595.4,69
640 - SPG Stierkalb,2017-01-06,120.1297.7630.2,70
640 - SPG Stierkalb,2017-01-06,120.1326.9463.1,70
640 - SPG Stierkalb,2017-01-06,120.1316.4590.0,70
650 - SPG Kuhkalb,2017-01-06,120.1291.0386.3,70
640 - SPG Stierkalb,2017-01-06,120.1322.1520.1,71
640 - SPG Stierkalb,2017-01-06,120.1297.7634.0,71
640 - SPG Stierkalb,2017-01-06,120.1317.4198.5,71
640 - SPG Stierkalb,2017-01-06,120.1312.7676.0,71
650 - SPG Kuhkalb,2017-01-06,120.1284.0202.8,71
650 - SPG Kuhkalb,2017-01-06,120.1297.7628.9,71
650 - SPG Kuhkalb,2017-01-06,120.1250.9981.8,71
650 - SPG Kuhkalb,2017-01-06,120.1232.3432.7,71
640 - SPG Stierkalb,2017-01-06,120.1199.4422.3,72
640 - SPG Stierkalb,2017-01-06,120.1305.0693.6,72
640 - SPG Stierkalb,2017-01-06,120.1312.7216.8,72
640 - SPG Stierkalb,2017-01-06,120.1263.4978.3,72
650 - SPG Kuhkalb,2017-01-06,120.1297.7633.3,72
650 - SPG Kuhkalb,2017-01-06,120.1293.8806.2,72
650 - SPG Kuhkalb,2017-01-06,120.1263.6032.0,72
650 - SPG Kuhkalb,2017-01-06,120.1331.7873.4,73
650 - SPG Kuhkalb,2017-01-06,120.1277.6516.2,73
640 - SPG Stierkalb,2017-01-06,120.1317.9360.1,74
640 - SPG Stierkalb,2017-01-06,120.1225.7497.4,74
650 - SPG Kuhkalb,2017-01-06,120.1246.5222.9,74
650 - SPG Kuhkalb,2017-01-06,120.1308.8149.1,74
650 - SPG Kuhkalb,2017-01-06,120.1308.1254.9,74
640 - SPG Stierkalb,2017-01-06,120.1306.3463.9,75
640 - SPG Stierkalb,2017-01-06,120.1297.3287.2,75
640 - SPG Stierkalb,2017-01-06,120.1265.2006.9,75
640 - SPG Stierkalb,2017-01-06,120.1166.5822.2,75
640 - SPG Stierkalb,2017-01-06,120.1300.2014.2,75
640 - SPG Stierkalb,2017-01-06,120.1267.3855.6,75
640 - SPG Stierkalb,2017-01-06,120.1297.7635.7,75
640 - SPG Stierkalb,2017-01-06,120.1147.0342.9,75
640 - SPG Stierkalb,2017-01-06,120.1294.9956.0,75
640 - SPG Stierkalb,2017-01-06,120.1286.2509.0,75
640 - SPG Stierkalb,2017-01-06,120.1306.0939.2,75
640 - SPG Stierkalb,2017-01-06,120.1295.6679.8,75
640 - SPG Stierkalb,2017-01-06,120.1290.3041.1,75
640 - SPG Stierkalb,2017-01-06,120.1269.5411.6,75
640 - SPG Stierkalb,2017-01-06,120.1268.7516.9,75
640 - SPG Stierkalb,2017-01-06,120.1298.7181.6,75
640 - SPG Stierkalb,2017-01-06,120.1267.3816.7,75
640 - SPG Stierkalb,2017-01-06,120.1326.9464.8,75
640 - SPG Stierkalb,2017-01-06,120.1317.4197.8,75
640 - SPG Stierkalb,2017-01-06,120.1321.5052.6,75
640 - SPG Stierkalb,2017-01-06,120.1293.6657.2,75
640 - SPG Stierkalb,2017-01-06,120.1211.0175.1,75
640 - SPG Stierkalb,2017-01-06,120.1322.1602.4,75
640 - SPG Stierkalb,2017-01-06,120.1246.5224.3,75
640 - SPG Stierkalb,2017-01-06,120.1238.7670.1,75
640 - SPG Stierkalb,2017-01-06,120.1307.6288.2,75
640 - SPG Stierkalb,2017-01-06,120.1250.7132.6,75
640 - SPG Stierkalb,2017-01-06,120.1280.5749.5,75
640 - SPG Stierkalb,2017-01-06,120.1316.4586.3,75
640 - SPG Stierkalb,2017-01-06,120.1285.2896.4,75
640 - SPG Stierkalb,2017-01-06,120.1293.3100.6,75
640 - SPG Stierkalb,2017-01-06,120.1331.7872.7,75
640 - SPG Stierkalb,2017-01-06,120.1322.5735.5,75
640 - SPG Stierkalb,2017-01-06,120.1317.3063.7,75
640 - SPG Stierkalb,2017-01-06,120.1154.3693.7,75
640 - SPG Stierkalb,2017-01-06,120.1275.6823.7,75
640 - SPG Stierkalb,2017-01-06,120.1273.4372.8,75
640 - SPG Stierkalb,2017-01-06,120.1245.4147.9,75
640 - SPG Stierkalb,2017-01-06,120.1245.4145.5,75
640 - SPG Stierkalb,2017-01-06,120.1314.9366.2,75
640 - SPG Stierkalb,2017-01-06,120.1302.6892.6,75
640 - SPG Stierkalb,2017-01-06,120.1302.6891.9,75
640 - SPG Stierkalb,2017-01-06,120.1317.8966.6,75
640 - SPG Stierkalb,2017-01-06,120.0708.6734.0,75
640 - SPG Stierkalb,2017-01-06,120.1334.6311.3,75
640 - SPG Stierkalb,2017-01-06,120.1272.2137.8,75
640 - SPG Stierkalb,2017-01-06,120.1272.2139.2,75
640 - SPG Stierkalb,2017-01-06,120.1289.2947.1,75
640 - SPG Stierkalb,2017-01-06,120.1306.3463.9,75
640 - SPG Stierkalb,2017-01-06,120.1270.1382.9,75
650 - SPG Kuhkalb,2017-01-06,120.1315.9427.7,75
650 - SPG Kuhkalb,2017-01-06,120.1315.9453.6,75
650 - SPG Kuhkalb,2017-01-06,120.1315.9457.4,75
650 - SPG Kuhkalb,2017-01-06,120.1306.3465.3,75
650 - SPG Kuhkalb,2017-01-06,120.1279.5887.8,75
650 - SPG Kuhkalb,2017-01-06,120.1279.5886.1,75
650 - SPG Kuhkalb,2017-01-06,120.1220.7802.1,75
650 - SPG Kuhkalb,2017-01-06,120.1269.5412.3,75
650 - SPG Kuhkalb,2017-01-06,120.1303.9840.1,75
650 - SPG Kuhkalb,2017-01-06,120.1305.0694.3,75
650 - SPG Kuhkalb,2017-01-06,120.1296.9066.0,75
650 - SPG Kuhkalb,2017-01-06,120.1307.8599.7,75
650 - SPG Kuhkalb,2017-01-06,120.1316.4588.7,75
650 - SPG Kuhkalb,2017-01-06,120.1307.9748.8,75
650 - SPG Kuhkalb,2017-01-06,120.1294.4467.6,75
650 - SPG Kuhkalb,2017-01-06,120.1268.9133.6,75
650 - SPG Kuhkalb,2017-01-06,120.1245.7149.0,75
650 - SPG Kuhkalb,2017-01-06,120.1303.4119.3,75
650 - SPG Kuhkalb,2017-01-06,120.1322.9225.7,75
650 - SPG Kuhkalb,2017-01-06,120.1313.2284.9,75
650 - SPG Kuhkalb,2017-01-06,120.1274.0182.4,75
650 - SPG Kuhkalb,2017-01-06,120.1252.1037.4,75
650 - SPG Kuhkalb,2017-01-06,120.1294.2433.3,75
650 - SPG Kuhkalb,2017-01-06,120.1307.8346.7,75
650 - SPG Kuhkalb,2017-01-06,120.1308.8144.6,75
650 - SPG Kuhkalb,2017-01-06,120.1300.5851.0,75
650 - SPG Kuhkalb,2017-01-06,120.1290.2035.1,75
650 - SPG Kuhkalb,2017-01-06,120.1307.1472.0,75
650 - SPG Kuhkalb,2017-01-09,120.1334.5412.8,55
650 - SPG Kuhkalb,2017-01-13,120.1213.4014.3,44
650 - SPG Kuhkalb,2017-01-13,120.1213.4015.0,56
640 - SPG Stierkalb,2017-01-13,120.1278.4892.6,60
650 - SPG Kuhkalb,2017-01-13,120.1321.9032.4,60
650 - SPG Kuhkalb,2017-01-13,120.1272.4749.1,61
640 - SPG Stierkalb,2017-01-13,120.1301.0963.2,62
640 - SPG Stierkalb,2017-01-13,120.1305.6326.7,63
640 - SPG Stierkalb,2017-01-13,120.1343.7379.4,65
650 - SPG Kuhkalb,2017-01-13,120.1284.5836.0,65
640 - SPG Stierkalb,2017-01-13,120.1320.5101.4,66
640 - SPG Stierkalb,2017-01-13,120.1286.2511.3,66
640 - SPG Stierkalb,2017-01-13,120.1228.5752.7,67
640 - SPG Stierkalb,2017-01-13,120.1297.7739.2,67
650 - SPG Kuhkalb,2017-01-13,120.1308.8152.1,67
650 - SPG Kuhkalb,2017-01-13,120.1247.4462.7,67
640 - SPG Stierkalb,2017-01-13,120.1294.3008.2,68
640 - SPG Stierkalb,2017-01-13,120.1255.6644.0,68
640 - SPG Stierkalb,2017-01-13,120.1301.7793.8,68
650 - SPG Kuhkalb,2017-01-13,120.1317.8968.0,68
640 - SPG Stierkalb,2017-01-13,120.1300.0318.3,69
640 - SPG Stierkalb,2017-01-13,120.1280.575.8,69
640 - SPG Stierkalb,2017-01-13,120.1248.7396.9,69
650 - SPG Kuhkalb,2017-01-13,120.1321.9031.7,69
650 - SPG Kuhkalb,2017-01-13,120.1272.4748.4,69
640 - SPG Stierkalb,2017-01-13,120.1307.9161.5,70
640 - SPG Stierkalb,2017-01-13,120.1278.4893.3,70
640 - SPG Stierkalb,2017-01-13,120.1270.0514.5,70
640 - SPG Stierkalb,2017-01-13,120.1304.1236.7,70
650 - SPG Kuhkalb,2017-01-13,120.1291.6851.0,70
650 - SPG Kuhkalb,2017-01-13,120.1312.7675.3,70
650 - SPG Kuhkalb,2017-01-13,120.1311.2702.4,70
640 - SPG Stierkalb,2017-01-13,120.1300.4859.7,71
640 - SPG Stierkalb,2017-01-13,120.1308.3560.9,71
640 - SPG Stierkalb,2017-01-13,120.1249.9986.7,71
640 - SPG Stierkalb,2017-01-13,120.1325.9975.2,71
640 - SPG Stierkalb,2017-01-13,120.1343.7378.7,71
650 - SPG Kuhkalb,2017-01-13,120.1325.9987.5,71
640 - SPG Stierkalb,2017-01-13,120.1234.6855.5,72
640 - SPG Stierkalb,2017-01-13,120.1314.1894.8,72
640 - SPG Stierkalb,2017-01-13,1201331.7689.1,72
640 - SPG Stierkalb,2017-01-13,120.1272.0694.8,72
640 - SPG Stierkalb,2017-01-13,120.1329.6618.9,72
640 - SPG Stierkalb,2017-01-13,120.1248.7397.6,72
640 - SPG Stierkalb,2017-01-13,120.1317.8969.7,72
640 - SPG Stierkalb,2017-01-13,120.1270.0131.4,72
640 - SPG Stierkalb,2017-01-13,120.1328.5626.8,72
650 - SPG Kuhkalb,2017-01-13,120.1294.3004.4,72
650 - SPG Kuhkalb,2017-01-13,120.1307.8608.6,72
640 - SPG Stierkalb,2017-01-13,120.1243.1519.3,73
640 - SPG Stierkalb,2017-01-13,120.1309.1759.6,73
640 - SPG Stierkalb,2017-01-13,120.1308.5707.6,73
640 - SPG Stierkalb,2017-01-13,120.1279.9221.6,73
640 - SPG Stierkalb,2017-01-13,120.1295.7170.9,73
650 - SPG Kuhkalb,2017-01-13,120.1246.6638.7,73
650 - SPG Kuhkalb,2017-01-13,120.1311.1637.0,73
650 - SPG Kuhkalb,2017-01-13,120.1308.8150.7,73
640 - SPG Stierkalb,2017-01-13,120.1271.1834.0,74
640 - SPG Stierkalb,2017-01-13,120.1292.3743.8,74
640 - SPG Stierkalb,2017-01-13,120.1280.3745.9,74
640 - SPG Stierkalb,2017-01-13,120.1269.5413.0,74
640 - SPG Stierkalb,2017-01-13,120.1291.6340.9,74
640 - SPG Stierkalb,2017-01-13,120.1292.6532.5,74
640 - SPG Stierkalb,2017-01-13,120.1340.8732.5,74
640 - SPG Stierkalb,2017-01-13,120.1340.8731.8,74
650 - SPG Kuhkalb,2017-01-13,120.1286.2510.6,74
650 - SPG Kuhkalb,2017-01-13,120.1317.3995.1,74
650 - SPG Kuhkalb,2017-01-13,120.1280.6741.8,74
640 - SPG Stierkalb,2017-01-13,120.1246.5225.0,75
640 - SPG Stierkalb,2017-01-13,120.1246.2646.7,75
640 - SPG Stierkalb,2017-01-13,120.1309.7120.8,75
640 - SPG Stierkalb,2017-01-13,120.1165.4949.0,75
640 - SPG Stierkalb,2017-01-13,120.1201.3955.7,75
640 - SPG Stierkalb,2017-01-13,120.1335.6350.9,75
640 - SPG Stierkalb,2017-01-13,120.1271.1835.7,75
640 - SPG Stierkalb,2017-01-13,120.1267.3857.0,75
640 - SPG Stierkalb,2017-01-13,120.1256.4460.5,75
640 - SPG Stierkalb,2017-01-13,120.1287.4513.2,75
640 - SPG Stierkalb,2017-01-13,120.1317.1314.2,75
640 - SPG Stierkalb,2017-01-13,120.1291.7795.6,75
640 - SPG Stierkalb,2017-01-13,120.1305.3908.8,75
640 - SPG Stierkalb,2017-01-13,120.1338.5697.7,75
640 - SPG Stierkalb,2017-01-13,120.1232.2153.2,75
640 - SPG Stierkalb,2017-01-13,120.1329.1063.2,75
640 - SPG Stierkalb,2017-01-13,120.1311.4030.6,75
640 - SPG Stierkalb,2017-01-13,120.1340.6376.3,75
640 - SPG Stierkalb,2017-01-13,120.1298.0868.3,75
640 - SPG Stierkalb,2017-01-13,120.1297.3512.5,75
640 - SPG Stierkalb,2017-01-13,120.1246.6639.4,75
640 - SPG Stierkalb,2017-01-13,120.1200.0801.3,75
640 - SPG Stierkalb,2017-01-13,120.1320.5647.7,75
640 - SPG Stierkalb,2017-01-13,120.1281.9559.3,75
640 - SPG Stierkalb,2017-01-13,120.1316.9077.1,75
640 - SPG Stierkalb,2017-01-13,120.1304.1814.7,75
640 - SPG Stierkalb,2017-01-13,120.0640.6879.1,75
640 - SPG Stierkalb,2017-01-13,120.1311.7695.4,75
640 - SPG Stierkalb,2017-01-13,120.1285.8452.6,75
640 - SPG Stierkalb,2017-01-13,120.1308.8772.1,75
640 - SPG Stierkalb,2017-01-13,120.1308.8773.8,75
640 - SPG Stierkalb,2017-01-13,120.1296.9067.7,75
640 - SPG Stierkalb,2017-01-13,120.1332.4829.1,75
640 - SPG Stierkalb,2017-01-13,120.1324.7520.9,75
640 - SPG Stierkalb,2017-01-13,120.1312.7738.5,75
640 - SPG Stierkalb,2017-01-13,120.0706.8759.7,75
640 - SPG Stierkalb,2017-01-13,120.1328.3001.5,75
640 - SPG Stierkalb,2017-01-13,120.1325.5673.1,75
640 - SPG Stierkalb,2017-01-13,120.1325.5672.4,75
640 - SPG Stierkalb,2017-01-13,120.1324.8047.0,75
640 - SPG Stierkalb,2017-01-13,120.1240.3079.9,75
640 - SPG Stierkalb,2017-01-13,120.1270.0513.8,75
640 - SPG Stierkalb,2017-01-13,120.1304.4169.5,75
640 - SPG Stierkalb,2017-01-13,120.1317.8970.3,75
640 - SPG Stierkalb,2017-01-13,120.1301.5451.9,75
640 - SPG Stierkalb,2017-01-13,120.1254.5959.9,75
640 - SPG Stierkalb,2017-01-13,120.1325.2308.5,75
640 - SPG Stierkalb,2017-01-13,120.1305.5875.1,75
640 - SPG Stierkalb,2017-01-13,120.1275.5516.9,75
640 - SPG Stierkalb,2017-01-13,120.1275.6824.4,75
640 - SPG Stierkalb,2017-01-13,120.1285.8123.5,75
640 - SPG Stierkalb,2017-01-13,120.1301.0962.5,75
640 - SPG Stierkalb,2017-01-13,120.1327.4677.4,75
640 - SPG Stierkalb,2017-01-13,120.1327.4676.7,75
640 - SPG Stierkalb,2017-01-13,120.1226.6065.3,75
640 - SPG Stierkalb,2017-01-13,120.1334.7773.8,75
640 - SPG Stierkalb,2017-01-13,120.1312.8853.4,75
640 - SPG Stierkalb,2017-01-13,120.1312.8854.1,75
640 - SPG Stierkalb,2017-01-13,120.1331.0070.4,75
640 - SPG Stierkalb,2017-01-13,120.1339.3936.6,75
640 - SPG Stierkalb,2017-01-13,120.1261.8361.5,75
640 - SPG Stierkalb,2017-01-13,120.1315.9686.8,75
640 - SPG Stierkalb,2017-01-13,120.1276.3514.4,75
640 - SPG Stierkalb,2017-01-13,120.1288.4776.8,75
640 - SPG Stierkalb,2017-01-13,120.1311.2213.5,75
640 - SPG Stierkalb,2017-01-13,120.1299.8395.3,75
640 - SPG Stierkalb,2017-01-13,120.1305.0393.5,75
640 - SPG Stierkalb,2017-01-13,120.1279.7703.9,75
650 - SPG Kuhkalb,2017-01-13,120.1295.6838.9,75
650 - SPG Kuhkalb,2017-01-13,120.1266.2051.6,75
650 - SPG Kuhkalb,2017-01-13,120.1267.3856.3,75
650 - SPG Kuhkalb,2017-01-13,120.1275.4391.3,75
650 - SPG Kuhkalb,2017-01-13,120.1275.4392.0,75
650 - SPG Kuhkalb,2017-01-13,120.1256.4457.5,75
650 - SPG Kuhkalb,2017-01-13,120.1312.7219.9,75
650 - SPG Kuhkalb,2017-01-13,120.1297.0795.5,75
650 - SPG Kuhkalb,2017-01-13,120.1201.1745.6,75
650 - SPG Kuhkalb,2017-01-13,120.1320.5645.3,75
650 - SPG Kuhkalb,2017-01-13,120.1285.8451.9,75
650 - SPG Kuhkalb,2017-01-13,120.1332.4828.4,75
650 - SPG Kuhkalb,2017-01-13,120.1324.7521.6,75
650 - SPG Kuhkalb,2017-01-13,120.1298.7183.0,75
650 - SPG Kuhkalb,2017-01-13,120.1322.6335.6,75
650 - SPG Kuhkalb,2017-01-13,120.1333.3802.2,75
650 - SPG Kuhkalb,2017-01-13,120.1319.4623.6,75
650 - SPG Kuhkalb,2017-01-13,120.1317.8967.3,75
650 - SPG Kuhkalb,2017-01-13,120.1263.3679.0,75
650 - SPG Kuhkalb,2017-01-13,120.1305.5876.8,75
650 - SPG Kuhkalb,2017-01-13,120.1302.6890.2,75
650 - SPG Kuhkalb,2017-01-13,120.1322.5736.2,75
650 - SPG Kuhkalb,2017-01-13,120.1248.4825.7,75
650 - SPG Kuhkalb,2017-01-13,120.1299.5687.2,75
650 - SPG Kuhkalb,2017-01-20,120.1303.7625.6,57
640 - SPG Stierkalb,2017-01-20,120.1336.2614.3,58
650 - SPG Kuhkalb,2017-01-20,120.1269.1060.0,60
640 - SPG Stierkalb,2017-01-20,120.1262.7439.9,61
650 - SPG Kuhkalb,2017-01-20,120.1297.1722.0,61
650 - SPG Kuhkalb,2017-01-20,120.1269.4798.9,61
650 - SPG Kuhkalb,2017-01-20,120.1269.4798.9,61
640 - SPG Stierkalb,2017-01-20,120.1241.6348.0,62
650 - SPG Kuhkalb,2017-01-20,120.1320.7235.4,65
650 - SPG Kuhkalb,2017-01-20,120.1269.2024.1,65
640 - SPG Stierkalb,2017-01-20,120.1269.5415.4,67
640 - SPG Stierkalb,2017-01-20,120.1331.7691.4,67
650 - SPG Kuhkalb,2017-01-20,120.1332.4830.7,67
640 - SPG Stierkalb,2017-01-20,120.1330.7787.7,68
650 - SPG Kuhkalb,2017-01-20,120.1223.6936.5,68
650 - SPG Kuhkalb,2017-01-20,120.1256.4459.9,68
650 - SPG Kuhkalb,2017-01-20,120.1263.4981.3,68
650 - SPG Kuhkalb,2017-01-20,120.1231.4437.4,69
650 - SPG Kuhkalb,2017-01-20,120.1294.0287.4,69
640 - SPG Stierkalb,2017-01-20,120.1243.1520.9,70
640 - SPG Stierkalb,2017-01-20,120.1237.5022.3,70
640 - SPG Stierkalb,2017-01-20,120.1316.7234.0,70
640 - SPG Stierkalb,2017-01-20,120.1214.4013.3,70
650 - SPG Kuhkalb,2017-01-20,120.1341.8998.2,70
650 - SPG Kuhkalb,2017-01-20,120.1272.0695.5,70
650 - SPG Kuhkalb,2017-01-20,120.1280.6745.6,70
640 - SPG Stierkalb,2017-01-20,120.1244.8323.6,71
650 - SPG Kuhkalb,2017-01-20,120.1297.1720.6,71
650 - SPG Kuhkalb,2017-01-20,120.1346.3077.4,72
650 - SPG Kuhkalb,2017-01-20,120.1272.0690.0,72
650 - SPG Kuhkalb,2017-01-20,120.1264.4138.8,72
640 - SPG Stierkalb,2017-01-20,120.1294.8394.1,73
640 - SPG Stierkalb,2017-01-20,120.1302.7248.0,73
640 - SPG Stierkalb,2017-01-20,120.1338.7271.7,73
650 - SPG Kuhkalb,2017-01-20,120.1261.3201.9,73
640 - SPG Stierkalb,2017-01-20,120.1297.1723.7,74
640 - SPG Stierkalb,2017-01-20,120.1178.2347.6,74
640 - SPG Stierkalb,2017-01-20,120.1313.8938.5,74
640 - SPG Stierkalb,2017-01-20,120.1277.0160.3,74
640 - SPG Stierkalb,2017-01-20,120.1247.4762.8,74
650 - SPG Kuhkalb,2017-01-20,120.1312.7220.5,74
640 - SPG Stierkalb,2017-01-20,120.1270.3354.4,75
640 - SPG Stierkalb,2017-01-20,120.1270.3355.1,75
640 - SPG Stierkalb,2017-01-20,120.1331.1730.6,75
640 - SPG Stierkalb,2017-01-20,120.1272.2060.9,75
640 - SPG Stierkalb,2017-01-20,120.1223.6935.8,75
640 - SPG Stierkalb,2017-01-20,120.1279.6056.7,75
640 - SPG Stierkalb,2017-01-20,120.1261.3200.2,75
640 - SPG Stierkalb,2017-01-20,120.1284.0203.5,75
640 - SPG Stierkalb,2017-01-20,120.1298.7185.4,75
640 - SPG Stierkalb,2017-01-20,120.1312.7222.9,75
640 - SPG Stierkalb,2017-01-20,120.1267.3858.7,75
640 - SPG Stierkalb,2017-01-20,120.1270.5922.3,75
640 - SPG Stierkalb,2017-01-20,120.1198.7610.4,75
640 - SPG Stierkalb,2017-01-20,120.1280.4870.7,75
640 - SPG Stierkalb,2017-01-20,120.1297.7632.6,75
640 - SPG Stierkalb,2017-01-20,120.1297.7637.1,75
640 - SPG Stierkalb,2017-01-20,120.1277.0157.3,75
640 - SPG Stierkalb,2017-01-20,120.1341.9000.1,75
640 - SPG Stierkalb,2017-01-20,120.1217.0034.3,75
640 - SPG Stierkalb,2017-01-20,120.1167.2480.4,75
640 - SPG Stierkalb,2017-01-20,120.1340.8026.5,75
640 - SPG Stierkalb,2017-01-20,120.1307.8221.7,75
640 - SPG Stierkalb,2017-01-20,120.1257.7499.9,75
640 - SPG Stierkalb,2017-01-20,120.1320.0351.8,75
640 - SPG Stierkalb,2017-01-20,120.1314.7903.1,75
640 - SPG Stierkalb,2017-01-20,120.1322.5990.8,75
640 - SPG Stierkalb,2017-01-20,120.1280.6749.4,75
640 - SPG Stierkalb,2017-01-20,120.0660.1390.4,75
640 - SPG Stierkalb,2017-01-20,120.1299.5878.4,75
640 - SPG Stierkalb,2017-01-20,120.1340.3601.9,75
650 - SPG Kuhkalb,2017-01-20,120.1297.1714.5,75
650 - SPG Kuhkalb,2017-01-20,120.1294.8395.8,75
650 - SPG Kuhkalb,2017-01-20,120.1321.9137.6,75
650 - SPG Kuhkalb,2017-01-20,120.1297.6884.0,75
650 - SPG Kuhkalb,2017-01-20,120.1290.3043.5,75
650 - SPG Kuhkalb,2017-01-20,120.1320.5648.4,75
650 - SPG Kuhkalb,2017-01-20,120.1256.4458.2,75
650 - SPG Kuhkalb,2017-01-20,120.1307.6289.9,75
650 - SPG Kuhkalb,2017-01-20,120.1321.9291.5,75
650 - SPG Kuhkalb,2017-01-20,120.1229.3517.1,75
650 - SPG Kuhkalb,2017-01-20,120.1287.6143.9,75
650 - SPG Kuhkalb,2017-01-20,120.1307.9752.5,75
650 - SPG Kuhkalb,2017-01-20,120.1303.7624.9,75
650 - SPG Kuhkalb,2017-01-20,120.1322.5737.9,75
650 - SPG Kuhkalb,2017-01-20,120.1294.4468.3,75
650 - SPG Kuhkalb,2017-01-20,120.1284.3255.1,75
650 - SPG Kuhkalb,2017-01-20,120.0617.0813.3,75
650 - SPG Kuhkalb,2017-01-20,120.1316.4280.0,75
640 - SPG Stierkalb,2017-01-27,120.1336.2619.8,50
650 - SPG Kuhkalb,2017-01-27,120.1336.2618.1,55
650 - SPG Kuhkalb,2017-01-27,120.1128.0608.5,58
640 - SPG Stierkalb,2017-01-27,120.1317.6380.2,59
650 - SPG Kuhkalb,2017-01-27,120.1312.9078.0,60
650 - SPG Kuhkalb,2017-01-27,120.1324.4119.8,61
650 - SPG Kuhkalb,2017-01-27,120.1231.0395.1,62
650 - SPG Kuhkalb,2017-01-27,120.1336.2616.7,62
640 - SPG Stierkalb,2017-01-27,120.0638.1034.6,63
640 - SPG Stierkalb,2017-01-27,120.1322.4652.6,63
650 - SPG Kuhkalb,2017-01-27,120.1317.9362.5,64
650 - SPG Kuhkalb,2017-01-27,120.1294.3011.2,64
640 - SPG Stierkalb,2017-01-27,120.1329.1605.4,65
650 - SPG Kuhkalb,2017-01-27,120.1231.7939.0,65
650 - SPG Kuhkalb,2017-01-27,120.1301.7794.5,65
650 - SPG Kuhkalb,2017-01-27,120.1341.8997.5,65
640 - SPG Stierkalb,2017-01-27,120.1291.7640.9,66
640 - SPG Stierkalb,2017-01-27,120.1302.9896.1,67
650 - SPG Kuhkalb,2017-01-27,120.1253.7958.3,67
640 - SPG Stierkalb,2017-01-27,120.1200.0807.5,68
650 - SPG Kuhkalb,2017-01-27,120.1287.1024.6,68
640 - SPG Stierkalb,2017-01-27,120.1204.4337.1,70
650 - SPG Kuhkalb,2017-01-27,120.1294.9957.7,70
650 - SPG Kuhkalb,2017-01-27,120.1301.1077.5,70
650 - SPG Kuhkalb,2017-01-27,120.1341.8995.1,70
650 - SPG Kuhkalb,2017-01-27,120.1269.5416.1,70
650 - SPG Kuhkalb,2017-01-27,120.1223.2504.0,70
650 - SPG Kuhkalb,2017-01-27,120.1304.1820.8,71
640 - SPG Stierkalb,2017-01-27,120.1329.1604.7,72
640 - SPG Stierkalb,2017-01-27,120.1295.0807.1,72
650 - SPG Kuhkalb,2017-01-27,120.1262.6832.9,72
650 - SPG Kuhkalb,2017-01-27,120.1325.2309.2,72
650 - SPG Kuhkalb,2017-01-27,120.1191.1885.3,72
650 - SPG Kuhkalb,2017-01-27,120.1244.5762.6,72
640 - SPG Stierkalb,2017-01-27,120.1347.2793.1,73
640 - SPG Stierkalb,2017-01-27,120.1344.5362.5,73
640 - SPG Stierkalb,2017-01-27,120.1336.8323.8,73
650 - SPG Kuhkalb,2017-01-27,120.1341.8994.4,73
640 - SPG Stierkalb,2017-01-27,120.1331.1731.3,74
640 - SPG Stierkalb,2017-01-27,120.1257.7501.9,74
650 - SPG Kuhkalb,2017-01-27,120.1314.9368.6,74
650 - SPG Kuhkalb,2017-01-27,120.1297.1379.6,74
650 - SPG Kuhkalb,2017-01-27,120.1335.4048.7,74
650 - SPG Kuhkalb,2017-01-27,120.1317.8971.0,74
650 - SPG Kuhkalb,2017-01-27,120.1253.7956.9,74
640 - SPG Stierkalb,2017-01-27,120.1268.2862.2,75
640 - SPG Stierkalb,2017-01-27,120.1144.3866.6,75
640 - SPG Stierkalb,2017-01-27,120.1279.5890.8,75
640 - SPG Stierkalb,2017-01-27,120.1299.4158.8,75
640 - SPG Stierkalb,2017-01-27,120.1337.5254.5,75
640 - SPG Stierkalb,2017-01-27,120.1309.0567.8,75
640 - SPG Stierkalb,2017-01-27,120.1309.0569.2,75
640 - SPG Stierkalb,2017-01-27,120.1294.0447.2,75
640 - SPG Stierkalb,2017-01-27,120.1309.2732.8,75
640 - SPG Stierkalb,2017-01-27,120.1270.5923.0,75
640 - SPG Stierkalb,2017-01-27,120.1270.5924.7,75
640 - SPG Stierkalb,2017-01-27,120.1270.6212.4,75
640 - SPG Stierkalb,2017-01-27,120.1270.6213.1,75
640 - SPG Stierkalb,2017-01-27,120.1255.6645.7,75
640 - SPG Stierkalb,2017-01-27,120.1285.8454.0,75
640 - SPG Stierkalb,2017-01-27,120.1346.3076.7,75
640 - SPG Stierkalb,2017-01-27,120.1306.8205.0,75
640 - SPG Stierkalb,2017-01-27,120.1324.4656.8,75
640 - SPG Stierkalb,2017-01-27,120.1309.7792.7,75
640 - SPG Stierkalb,2017-01-27,120.1215.9363.1,75
