Vianco_data,,,
Gattung,GewogenAm,GewichtBezahlt,TVD
650 - SPG Kuhkalb,2017-01-06,75,12013279406116
650 - SPG Kuhkalb,2017-01-06,75,12013279406117
650 - SPG Kuhkalb,2017-01-06,75,12013279406118
650 - SPG Kuhkalb,2017-01-06,75,12013279406119
650 - SPG Kuhkalb,2017-01-06,75,12013279406120
650 - SPG Kuhkalb,2017-01-06,75,12013279406121
650 - SPG Kuhkalb,2017-01-09,55,12013279406122
650 - SPG Kuhkalb,2017-01-13,44,12013279406123
650 - SPG Kuhkalb,2017-01-13,56,12013279406124
640 - SPG Stierkalb,2017-01-13,60,12013279406125
650 - SPG Kuhkalb,2017-01-13,60,12013279406126
650 - SPG Kuhkalb,2017-01-13,61,12013279406127
640 - SPG Stierkalb,2017-01-13,62,12013279406128
640 - SPG Stierkalb,2017-01-13,63,12013279406129
640 - SPG Stierkalb,2017-01-13,65,12013279406130
650 - SPG Kuhkalb,2017-01-13,65,12013279406131
640 - SPG Stierkalb,2017-01-13,66,12013279406132
640 - SPG Stierkalb,2017-01-13,66,12013279406133
640 - SPG Stierkalb,2017-01-13,67,12013279406134
640 - SPG Stierkalb,2017-01-13,67,12013279406135
650 - SPG Kuhkalb,2017-01-13,67,12013279406136
650 - SPG Kuhkalb,2017-01-13,67,12013279406137
640 - SPG Stierkalb,2017-01-13,68,12013279406138
640 - SPG Stierkalb,2017-01-13,68,12013279406139
640 - SPG Stierkalb,2017-01-13,68,12013279406140
650 - SPG Kuhkalb,2017-01-13,68,12013279406141
640 - SPG Stierkalb,2017-01-13,69,12013279406142
640 - SPG Stierkalb,2017-01-13,69,12013279406143
640 - SPG Stierkalb,2017-01-13,69,12013279406144
650 - SPG Kuhkalb,2017-01-13,69,12013279406145
650 - SPG Kuhkalb,2017-01-13,69,12013279406146
640 - SPG Stierkalb,2017-01-13,70,12013279406147
640 - SPG Stierkalb,2017-01-13,70,12013279406148
640 - SPG Stierkalb,2017-01-13,70,12013279406149
640 - SPG Stierkalb,2017-01-13,70,12013279406150
650 - SPG Kuhkalb,2017-01-13,70,12013279406151
650 - SPG Kuhkalb,2017-01-13,70,12013279406152
650 - SPG Kuhkalb,2017-01-13,70,12013279406153
640 - SPG Stierkalb,2017-01-13,71,12013279406154
640 - SPG Stierkalb,2017-01-13,71,12013279406155
640 - SPG Stierkalb,2017-01-13,71,12013279406156
640 - SPG Stierkalb,2017-01-13,71,12013279406157
640 - SPG Stierkalb,2017-01-13,71,12013279406158
650 - SPG Kuhkalb,2017-01-13,71,12013279406159
640 - SPG Stierkalb,2017-01-13,72,12013279406160
640 - SPG Stierkalb,2017-01-13,72,12013279406161
640 - SPG Stierkalb,2017-01-13,72,12013279406162
640 - SPG Stierkalb,2017-01-13,72,12013279406163
640 - SPG Stierkalb,2017-01-13,72,12013279406164
640 - SPG Stierkalb,2017-01-13,72,12013279406165
640 - SPG Stierkalb,2017-01-13,72,12013279406166
640 - SPG Stierkalb,2017-01-13,72,12013279406167
640 - SPG Stierkalb,2017-01-13,72,12013279406168
650 - SPG Kuhkalb,2017-01-13,72,12013279406169
650 - SPG Kuhkalb,2017-01-13,72,12013279406170
640 - SPG Stierkalb,2017-01-13,73,12013279406171
640 - SPG Stierkalb,2017-01-13,73,12013279406172
640 - SPG Stierkalb,2017-01-13,73,12013279406173
640 - SPG Stierkalb,2017-01-13,73,12013279406174
640 - SPG Stierkalb,2017-01-13,73,12013279406175
650 - SPG Kuhkalb,2017-01-13,73,12013279406176
650 - SPG Kuhkalb,2017-01-13,73,12013279406177
650 - SPG Kuhkalb,2017-01-13,73,12013279406178
640 - SPG Stierkalb,2017-01-13,74,12013279406179
640 - SPG Stierkalb,2017-01-13,74,12013279406180
640 - SPG Stierkalb,2017-01-13,74,12013279406181
640 - SPG Stierkalb,2017-01-13,74,12013279406182
640 - SPG Stierkalb,2017-01-13,74,12013279406183
640 - SPG Stierkalb,2017-01-13,74,12013279406184
640 - SPG Stierkalb,2017-01-13,74,12013279406185
640 - SPG Stierkalb,2017-01-13,74,12013279406186
650 - SPG Kuhkalb,2017-01-13,74,12013279406187
650 - SPG Kuhkalb,2017-01-13,74,12013279406188
650 - SPG Kuhkalb,2017-01-13,74,12013279406189
640 - SPG Stierkalb,2017-01-13,75,12013279406190
640 - SPG Stierkalb,2017-01-13,75,12013279406191
640 - SPG Stierkalb,2017-01-13,75,12013279406192
640 - SPG Stierkalb,2017-01-13,75,12013279406193
640 - SPG Stierkalb,2017-01-13,75,12013279406194
640 - SPG Stierkalb,2017-01-13,75,12013279406195
640 - SPG Stierkalb,2017-01-13,75,12013279406196
640 - SPG Stierkalb,2017-01-13,75,12013279406197
640 - SPG Stierkalb,2017-01-13,75,12013279406198
640 - SPG Stierkalb,2017-01-13,75,12013279406199
640 - SPG Stierkalb,2017-01-13,75,12013279406200
640 - SPG Stierkalb,2017-01-13,75,12013279406201
640 - SPG Stierkalb,2017-01-13,75,12013279406202
640 - SPG Stierkalb,2017-01-13,75,12013279406203
640 - SPG Stierkalb,2017-01-13,75,12013279406204
640 - SPG Stierkalb,2017-01-13,75,12013279406205
640 - SPG Stierkalb,2017-01-13,75,12013279406206
640 - SPG Stierkalb,2017-01-13,75,12013279406207
640 - SPG Stierkalb,2017-01-13,75,12013279406208
640 - SPG Stierkalb,2017-01-13,75,12013279406209
640 - SPG Stierkalb,2017-01-13,75,12013279406210
640 - SPG Stierkalb,2017-01-13,75,12013279406211
640 - SPG Stierkalb,2017-01-13,75,12013279406212
640 - SPG Stierkalb,2017-01-13,75,12013279406213
640 - SPG Stierkalb,2017-01-13,75,12013279406214
640 - SPG Stierkalb,2017-01-13,75,12013279406215
640 - SPG Stierkalb,2017-01-13,75,12013279406216
640 - SPG Stierkalb,2017-01-13,75,12013279406217
640 - SPG Stierkalb,2017-01-13,75,12013279406218
640 - SPG Stierkalb,2017-01-13,75,12013279406219
640 - SPG Stierkalb,2017-01-13,75,12013279406220
640 - SPG Stierkalb,2017-01-13,75,12013279406221
640 - SPG Stierkalb,2017-01-13,75,12013279406222
640 - SPG Stierkalb,2017-01-13,75,12013279406223
640 - SPG Stierkalb,2017-01-13,75,12013279406224
640 - SPG Stierkalb,2017-01-13,75,12013279406225
640 - SPG Stierkalb,2017-01-13,75,12013279406226
640 - SPG Stierkalb,2017-01-13,75,12013279406227
640 - SPG Stierkalb,2017-01-13,75,12013279406228
640 - SPG Stierkalb,2017-01-13,75,12013279406229
640 - SPG Stierkalb,2017-01-13,75,12013279406230
640 - SPG Stierkalb,2017-01-13,75,12013279406231
640 - SPG Stierkalb,2017-01-13,75,12013279406232
640 - SPG Stierkalb,2017-01-13,75,12013279406233
640 - SPG Stierkalb,2017-01-13,75,12013279406234
640 - SPG Stierkalb,2017-01-13,75,12013279406235
640 - SPG Stierkalb,2017-01-13,75,12013279406236
640 - SPG Stierkalb,2017-01-13,75,12013279406237
640 - SPG Stierkalb,2017-01-13,75,12013279406238
640 - SPG Stierkalb,2017-01-13,75,12013279406239
640 - SPG Stierkalb,2017-01-13,75,12013279406240
640 - SPG Stierkalb,2017-01-13,75,12013279406241
640 - SPG Stierkalb,2017-01-13,75,12013279406242
640 - SPG Stierkalb,2017-01-13,75,12013279406243
640 - SPG Stierkalb,2017-01-13,75,12013279406244
640 - SPG Stierkalb,2017-01-13,75,12013279406245
640 - SPG Stierkalb,2017-01-13,75,12013279406246
640 - SPG Stierkalb,2017-01-13,75,12013279406247
640 - SPG Stierkalb,2017-01-13,75,12013279406248
640 - SPG Stierkalb,2017-01-13,75,12013279406249
640 - SPG Stierkalb,2017-01-13,75,12013279406250
640 - SPG Stierkalb,2017-01-13,75,12013279406251
640 - SPG Stierkalb,2017-01-13,75,12013279406252
640 - SPG Stierkalb,2017-01-13,75,12013279406253
640 - SPG Stierkalb,2017-01-13,75,12013279406254
640 - SPG Stierkalb,2017-01-13,75,12013279406255
640 - SPG Stierkalb,2017-01-13,75,12013279406256
640 - SPG Stierkalb,2017-01-13,75,12013279406257
650 - SPG Kuhkalb,2017-01-13,75,12013279406258
650 - SPG Kuhkalb,2017-01-13,75,12013279406259
650 - SPG Kuhkalb,2017-01-13,75,12013279406260
650 - SPG Kuhkalb,2017-01-13,75,12013279406261
650 - SPG Kuhkalb,2017-01-13,75,12013279406262
650 - SPG Kuhkalb,2017-01-13,75,12013279406263
650 - SPG Kuhkalb,2017-01-13,75,12013279406264
650 - SPG Kuhkalb,2017-01-13,75,12013279406265
650 - SPG Kuhkalb,2017-01-13,75,12013279406266
650 - SPG Kuhkalb,2017-01-13,75,12013279406267
